ParName   Value   Gradient
F_rate[200]     0.109711 6.20995e-010
F_rate[201]     0.114364 -6.79742e-007
F_rate[202]     0.146225 1.69322e-007
F_rate[203]     0.167406  1.0448e-007
F_rate[204]     0.205044 -7.27708e-008
F_rate[205]     0.221054 -5.00538e-008
F_rate[206]     0.221029 -3.7567e-007
F_rate[207]     0.167412 8.92189e-008
F_rate[208]     0.161209 2.14531e-007
F_rate[209]      0.18382 -3.56654e-007
F_rate[210]     0.194198 3.88609e-007
F_rate[211]     0.215615 2.77274e-007
F_rate[212]     0.212242 3.01258e-007
F_rate[213]     0.231283 -6.06763e-008
F_rate[214]     0.235102 -3.13496e-007
F_rate[215]     0.267363 -2.26607e-007
F_rate[216]      0.25199 1.94803e-007
F_rate[217]     0.240467 1.30389e-007
F_rate[218]     0.237448 7.69545e-008
F_rate[219]     0.240259  4.3715e-007
F_rate[220]     0.239303 9.08207e-009
F_rate[221]     0.240982 2.03033e-007
F_rate[222]     0.250328 1.56491e-007
F_rate[223]     0.273667 3.68774e-007
F_rate[224]     0.289619 -2.63424e-008
F_rate[225]     0.303551 -2.10337e-007
F_rate[226]     0.311538 -4.96907e-008
F_rate[227]     0.296455 -1.69107e-007
F_rate[228]     0.271576 2.17909e-007
F_rate[229]     0.279537 2.97745e-008
F_rate[230]     0.320909 1.85628e-007
F_rate[231]     0.306789 7.40649e-008
F_rate[232]     0.344815 -1.73314e-007
F_rate[233]     0.281027 -3.10098e-008
F_rate[234]     0.248059 -9.57015e-008
F_rate[235]     0.249041 1.09508e-007
F_rate[236]     0.242619 2.09279e-007
F_rate[237]     0.259663  5.5624e-007
F_rate[238]     0.337936 6.41193e-008
F_rate[239]     0.350569 2.99545e-007
F_rate[240]      0.42536 -3.5841e-007
F_rate[241]     0.398375 -2.77693e-007
F_rate[242]     0.409146 -3.44066e-007
F_rate[243]     0.412778 -2.76429e-007
F_rate[244]     0.506143 -2.60964e-007
F_rate[245]     0.321718 -2.47787e-007
F_rate[246]     0.233908 -7.07041e-007
F_rate[247]     0.269279 -6.49245e-007
F_rate[248]     0.318135 -7.3556e-007
F_rate[249]     0.286301 -7.49733e-007
F_rate[250]     0.301284 -6.3208e-007
F_rate[251]     0.245654 -3.19334e-007
F_rate[252]     0.142129 -6.80787e-008
F_rate[253]    0.0889852 -5.14211e-007
F_rate[254]    0.0700971 1.85312e-007
F_rate[255]     0.119589 -1.48882e-007
F_rate[256]    0.0939536 2.69419e-007
F_rate[257]    0.0964249 1.70042e-007
F_rate[258]     0.081864 2.82701e-008
F_rate[259]    0.0882698   1.535e-007
F_rate[260]    0.0684624   4.208e-008
Q_parm[4]      1.35957 -6.96544e-007
selparm[1]      27.5006 1.14051e-007
selparm[2]     -5.44199 -1.83477e-009
